P,mean,min,max,peak
1,19.915005,19.539391,20.06382955,
2,37.452511,36.945831,37.781211110,
4,70.505654,68.132865,73.208542220,
8,121.125321,113.878489,124.769539440,
16,224.643388,217.150502,232.484049880,
32,399.358941,388.484553,404.7285091760,
