P,mean,min,max
1,17.731576,17.477297,17.949479
2,34.816034,32.689079,35.421827
4,65.526776,64.429838,66.290433
8,125.927330,123.117313,128.038042
16,243.486538,232.796469,250.777002
32,471.147858,328.252511,506.534381
