P,tilemean,tilestddev,mulmean,mulstddev,untilemean,untilestddev
1,0.645104,0.002738,35.438922,1.037741,0.148856,0.147129
2,0.351361,0.001885,19.395179,1.380073,0.248930,0.067790
4,0.249365,0.005116,10.214526,0.175047,0.197539,0.054260
8,0.265672,0.004523,4.728627,0.250158,0.108690,0.016722
16,0.164088,0.004185,2.334240,0.011739,0.030701,0.023283
32,0.108619,0.007653,1.331544,0.072295,0.025209,0.001753
