P,mean,min,max,peak
1,50.958890,48.899193,51.30698055,
2,94.741920,83.119508,96.992737110,
4,173.785147,167.685003,176.986792220,
8,374.814402,330.515511,390.395875440,
16,758.978293,753.506334,763.722232880,
32,1350.591662,1289.174587,1376.6583001760,
