P,mean,min,max
1,51.430879,49.354961,52.578478
2,101.673110,98.412865,103.568790
4,190.399859,185.712936,193.023820
8,378.292385,374.279301,382.353162
16,733.938642,727.018454,747.451075
32,1168.301771,1100.325768,1224.324956
