P,mean,min,max,peak
1,49.026111,46.599680,49.89360055,
2,91.198581,83.986259,94.435845110,
4,168.046975,154.208554,174.415612220,
8,361.914770,304.257466,373.853699440,
16,736.693415,727.687578,743.486223880,
32,1323.526821,1249.212666,1348.7528591760,
