P,mean,min,max,peak
1,19.249334,18.112336,19.70518655,
2,33.614979,30.481536,35.161152110,
4,58.443250,55.137761,61.449890220,
8,96.513561,92.340683,98.992897440,
16,136.661161,120.815206,143.917953880,
32,121.054711,108.371181,136.7234201760,
